Header
rate=30
frames=120
duration=4.0
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,
1.16667,35,-3.47886,-1.71302,-3.45405,-1.33647,71.0117,-26.9291,-68.6548,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
1.2,36,-3.47886,-1.71302,-3.45405,-1.33647,72.6266,-26.9291,-69.7261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
1.23333,37,-3.47886,-1.71302,-3.45405,-1.33647,74.2968,-26.9291,-69.2807,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
1.26667,38,-3.47886,-1.71302,-3.45405,-1.33647,75.8411,-26.9291,-68.0293,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
1.3,39,-3.47886,-1.71302,-3.45405,-1.33647,77.078,-26.9291,-66.0992,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
1.33333,40,-3.47886,-1.71302,-3.45405,-1.33647,77.8261,-26.9291,-63.6178,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
1.36667,41,-3.47886,-1.71302,-3.45405,-1.33647,78.2542,-26.6092,-60.7124,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
1.4,42,-3.47886,-1.71302,-3.45405,-1.33647,78.6527,-25.6881,-57.5102,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
1.43333,43,-3.47886,-1.71302,-3.45405,-1.33647,79.0226,-24.2241,-54.1385,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
1.46667,44,-3.47886,-1.71302,-3.45405,-1.33647,79.3648,-22.2753,-50.7246,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
1.5,45,-3.47886,-1.71302,-3.45405,-1.33647,79.6803,-19.8999,-47.3959,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
1.53333,46,-3.47886,-1.71302,-3.45405,-1.33647,79.97,-17.1562,-44.2796,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
1.56667,47,-3.47886,-1.71302,-3.45405,-1.33647,80.2351,-14.1023,-41.503,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
1.6,48,-3.47886,-1.71302,-3.45405,-1.33647,80.4763,-10.7963,-39.1934,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
1.63333,49,-3.47886,-1.71302,-3.45405,-1.33647,80.6948,-7.29652,-37.4782,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
