Header
rate=30
frames=647
duration=21.5667
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD
3.06667,92,85.2333,-28.2704,85.3582,-29.3922,-13.8293,39.5428,53.1968,-79.7074,32.1145,-78.8583,34.5942,-67.5066,-40.0,-0.00229494,0.0
3.1,93,85.1099,-28.2475,85.2353,-29.3687,-13.534,38.3922,53.4375,-79.569,32.0464,-78.7198,34.5207,-67.4246,-40.0,-0.00229494,0.0
3.13333,94,84.9842,-28.2238,85.1104,-29.3446,-13.2344,37.1612,53.6652,-79.4282,31.9771,-78.5788,34.446,-67.345,-40.0,-0.00229494,0.0
3.16667,95,84.8569,-28.1998,84.9837,-29.3201,-12.931,35.8575,53.8788,-79.2857,31.9068,-78.4363,34.3702,-67.2677,-40.0,-0.00229494,0.0
3.2,96,84.7283,-28.1755,84.8556,-29.2951,-12.6245,34.489,54.0772,-79.1415,31.8359,-78.2919,34.2934,-67.1926,-40.0,-0.00229494,0.0
3.23333,97,84.5982,-28.1506,84.7262,-29.2698,-12.3154,33.0635,54.2593,-78.9959,31.764,-78.1459,34.2158,-67.1197,-40.0,-0.00229494,0.0
3.26667,98,84.4671,-28.1254,84.5957,-29.244,-12.0042,31.5886,54.424,-78.8489,31.6915,-77.9987,34.1375,-67.0489,-40.0,-0.00229494,0.0
3.3,99,84.3351,-28.0998,84.4645,-29.218,-11.6916,30.0722,54.5703,-78.701,31.6184,-77.8506,34.0586,-66.98,-40.0,-0.00229494,0.0
3.33333,100,84.2028,-28.0741,84.3326,-29.1915,-11.378,28.522,54.6971,-78.5524,31.545,-77.7018,33.9793,-66.9131,-40.0,-0.00229494,0.0
3.36667,101,84.0699,-28.0481,84.2004,-29.1649,-11.0641,26.9457,54.8032,-78.4034,31.4713,-77.5526,33.8997,-66.848,-40.0,-0.00229494,0.0
3.4,102,83.9368,-28.0218,84.0681,-29.1381,-10.7505,25.3512,54.8877,-78.2541,31.3973,-77.4032,33.82,-66.7845,-40.0,-0.00229494,0.0
3.43333,103,83.8042,-27.9956,83.936,-29.1111,-10.4376,23.7463,54.9494,-78.105,31.3236,-77.2539,33.7403,-66.7227,-40.0,-0.00229494,0.0
3.46667,104,83.6717,-27.9691,83.8042,-29.084,-10.1261,22.1386,54.9872,-77.9563,31.2497,-77.1048,33.6607,-66.6625,-40.0,-0.00229494,0.0
3.5,105,83.5398,-27.9426,83.673,-29.0569,-9.81655,20.536,55.0,-77.8083,31.1763,-76.9567,33.5815,-66.6037,-40.0,-0.00229494,0.0
3.53333,106,83.4088,-27.9162,83.5428,-29.0299,-9.50946,18.9462,54.8919,-77.6612,31.1035,-76.8094,33.5027,-66.5464,-40.0,-0.00229494,0.0
3.56667,107,83.2792,-27.8899,83.4136,-29.0028,-9.20544,17.3769,54.576,-77.5153,31.0311,-76.6633,33.4245,-66.4902,-40.0,-0.00229494,0.0
3.6,108,83.1508,-27.8637,83.2857,-28.976,-8.90504,15.836,54.0649,-77.3709,30.9593,-76.5187,33.347,-66.4354,-40.0,-0.00229494,0.0
3.63333,109,83.0238,-27.8375,83.1595,-28.9492,-8.60883,14.3313,53.3711,-77.2279,30.8883,-76.3756,33.2704,-66.3816,-40.0,-0.00229494,0.0
3.66667,110,82.8988,-27.8117,83.0351,-28.9228,-8.31737,12.8704,52.5073,-77.0875,30.8185,-76.235,33.195,-66.3288,-40.0,-0.00229494,0.0
3.7,111,82.7759,-27.7862,82.9129,-28.8966,-8.03125,11.4612,51.4861,-76.9494,30.7497,-76.0965,33.1207,-66.277,-40.0,-0.00229494,0.0
3.73333,112,82.6554,-27.7611,82.793,-28.8709,-7.75101,10.1113,50.32,-76.8137,30.6821,-75.9606,33.0477,-66.2261,-40.0,-0.00229494,0.0
3.76667,113,82.5377,-27.7365,82.6757,-28.8455,-7.47723,8.82868,49.0217,-76.6807,30.6158,-75.8277,32.9763,-66.176,-40.0,-0.00229494,0.0
3.8,114,82.4227,-27.7122,82.5612,-28.8206,-7.21047,7.62099,47.6038,-76.5514,30.5514,-75.698,32.9066,-66.1265,-40.0,-0.00229494,0.0
3.83333,115,82.3106,-27.6885,82.4498,-28.7963,-6.9513,6.496,46.0788,-76.425,30.4883,-75.5717,32.8387,-66.0776,-40.0,-0.00229494,0.0
3.86667,116,82.2021,-27.6654,82.3419,-28.7727,-6.70029,5.4615,44.4593,-76.3031,30.4275,-75.4492,32.7728,-66.0293,-40.0,-0.00229494,0.0
3.9,117,82.0974,-27.6431,82.2375,-28.7496,-6.458,4.52525,42.7579,-76.1847,30.3685,-75.331,32.7093,-65.9814,-40.0,-0.00229494,0.0
3.93333,118,81.9965,-27.6215,82.137,-28.7274,-6.225,3.69501,40.9873,-76.0708,30.3116,-75.2168,32.6477,-65.9338,-40.0,-0.00229494,0.0
3.96667,119,81.8963,-27.5992,82.0376,-28.7045,-5.99519,2.94924,39.16,-75.9586,30.256,-75.1045,32.5878,-65.8868,-40.0,-0.00229494,0.0
4.0,120,81.7948,-27.5753,81.9362,-28.6798,-5.76245,2.25917,37.2887,-75.8451,30.2005,-74.9908,32.5278,-65.8408,-40.0,-0.00229494,0.0
4.03333,121,81.6913,-27.5496,81.8334,-28.6533,-5.52734,1.62174,35.3858,-75.7311,30.1456,-74.8763,32.4683,-65.7958,-40.0,-0.00229494,0.0
4.06667,122,81.5868,-27.5227,81.7292,-28.6254,-5.29039,1.03386,33.4641,-75.6161,30.091,-74.7611,32.4092,-65.7519,-40.0,-0.00229494,0.0
4.1,123,81.4809,-27.4943,81.6239,-28.5961,-5.05216,0.492467,31.536,-75.5007,30.0366,-74.6454,32.3505,-65.7089,-40.0,-0.00229494,0.0
4.13333,124,81.3745,-27.4649,81.518,-28.5657,-4.81318,-0.00551168,29.6143,-75.385,29.9827,-74.5291,32.2921,-65.667,-40.0,-0.00229494,0.0
4.16667,125,81.2677,-27.4347,81.4115,-28.5343,-4.57401,-0.463151,27.7114,-75.2691,29.9293,-74.4134,32.2343,-65.6261,-40.0,-0.00229494,0.0
4.2,126,81.1607,-27.4037,81.3049,-28.5022,-4.33518,-0.883523,25.84,-75.1536,29.8761,-74.2976,32.1769,-65.5864,-40.0,-0.00229494,0.0
4.23333,127,81.0537,-27.3722,81.1983,-28.4694,-4.09724,-1.2697,24.0127,-75.0384,29.8238,-74.1822,32.1201,-65.5478,-40.0,-0.00229494,0.0
4.26667,128,80.9472,-27.3404,81.0922,-28.4364,-3.86073,-1.62476,22.2421,-74.9241,29.7718,-74.0672,32.0638,-65.5103,-40.0,-0.00229494,0.0
4.3,129,80.8413,-27.3083,80.9867,-28.4031,-3.62621,-1.95177,20.5408,-74.8103,29.7203,-73.9537,32.0082,-65.4739,-40.0,-0.00229494,0.0
4.33333,130,80.7364,-27.2764,80.8822,-28.3698,-3.39421,-2.25381,18.9213,-74.698,29.6698,-73.841,31.9532,-65.4387,-40.0,-0.00229494,0.0
4.36667,131,80.6328,-27.2447,80.7788,-28.3368,-3.16528,-2.53394,17.3963,-74.5871,29.6197,-73.7296,31.899,-65.4047,-40.0,-0.00229494,0.0
4.4,132,80.5305,-27.2131,80.677,-28.3041,-2.93996,-2.79525,15.9783,-74.4774,29.5701,-73.6197,31.8454,-65.372,-40.0,-0.00229494,0.0
4.43333,133,80.4301,-27.1823,80.5771,-28.2721,-2.7188,-3.0408,14.68,-74.37,29.5217,-73.5121,31.7928,-65.3404,-40.0,-0.00229494,0.0
4.46667,134,80.332,-27.1524,80.4791,-28.2408,-2.50235,-3.27366,13.514,-74.2646,29.4738,-73.4063,31.7409,-65.3102,-40.0,-0.00229494,0.0
4.5,135,80.236,-27.1231,80.3836,-28.2105,-2.29115,-3.49692,12.4927,-74.1611,29.4266,-73.3028,31.69,-65.2812,-40.0,-0.00229494,0.0
4.53333,136,80.1429,-27.0952,80.2907,-28.1814,-2.08574,-3.71364,11.6289,-74.0607,29.3806,-73.2021,31.6402,-65.2534,-40.0,-0.00229494,0.0
4.56667,137,80.0527,-27.0685,80.2008,-28.1537,-1.88666,-3.9269,10.9352,-73.963,29.3353,-73.1039,31.591,-65.2271,-40.0,-0.00229494,0.0
