Header
rate=30
frames=101
duration=3.36667
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD
2.9,87,29.4424,-15.101,27.5771,-13.6292,-24.7174,0.329315,5.00003,-20.9968,-0.808085,-13.7196,-5.27113,3.59579,6.77459,-0.284661,0.0
2.93333,88,28.4499,-14.6821,26.5733,-13.2464,-22.641,0.359448,5.00003,-20.3087,-1.00721,-12.6314,-5.79919,3.31225,5.96768,-0.293217,0.0
2.96667,89,27.4173,-14.227,25.5251,-12.8152,-20.5942,0.391254,5.00003,-19.5295,-1.25875,-11.2114,-6.51673,3.04017,5.19339,-0.30201,0.0
3.0,90,26.3487,-13.7418,24.4364,-12.3428,-18.5842,0.424772,5.00003,-18.6458,-1.57394,-9.07145,-7.65291,2.78108,4.45606,-0.311463,0.0
3.03333,91,25.2523,-13.2354,23.3145,-11.8492,-16.6184,0.460044,5.00003,-17.6411,-1.96634,-5.77105,-9.48003,2.5365,3.76003,-0.322001,0.0
3.06667,92,24.1381,-12.7179,22.1692,-11.343,-14.7042,0.49711,5.00003,-16.4905,-2.4511,-5.75198,-9.36513,2.30796,3.10965,-0.334046,0.0
3.1,93,23.0199,-12.2014,21.0145,-10.8198,-12.849,0.536009,5.00003,-15.1545,-3.06024,-5.78592,-9.23468,2.097,2.50928,-0.348023,0.0
3.13333,94,21.9159,-11.7005,19.8684,-10.3147,-11.0601,0.576784,5.00003,-13.5545,-3.83384,-5.75139,-9.16852,1.90513,1.96325,-0.364354,0.0
3.16667,95,20.848,-11.2316,18.7544,-9.83046,-9.34485,0.619474,5.00003,-11.4874,-4.88892,-5.78592,-9.06727,1.73388,1.47592,-0.383464,0.0
3.2,96,19.8437,-10.8149,17.7022,-9.38927,-7.7107,0.66412,5.00003,-7.61931,-6.95443,-5.75177,-9.01308,1.58479,1.05163,-0.405775,0.0
3.23333,97,18.9349,-10.4723,16.7467,-9.02687,-6.165,0.710761,5.00003,-6.27648,-7.6754,-5.78592,-8.98152,1.45939,0.694743,-0.431712,0.0
3.26667,98,18.1589,-10.229,15.9304,-8.75703,-4.71509,0.75944,5.00003,-6.29642,-7.70161,-5.75177,-8.97929,1.35919,0.409592,-0.461698,0.0
3.3,99,17.5555,-10.1113,15.2988,-8.62092,-3.36836,0.810196,5.00003,-6.27633,-7.77146,-5.75139,-9.03304,1.28572,0.200529,-0.496156,0.0
3.33333,100,17.164,-10.1488,14.8982,-8.64835,-2.13216,0.863069,5.00003,-6.2767,-7.88812,-5.78592,-9.07004,1.24053,0.0719033,-0.53551,0.0
3.36667,101,17.0203,-10.3548,14.7697,-8.85794,-1.01387,0.9181,5.00003,-6.27663,-8.05637,-5.75198,-9.19854,1.22512,0.0280618,-0.580184,0.0
